hour;day_ahead_mean_EUR_MWh;day_ahead_std_EUR_MWh
00;81,50483871;23,74955885
01;72,24580645;21,40690508
02;68,22354839;22,44547698
03;66,73354839;23,68087661
04;66,73096774;25,79809287
05;71,00709677;29,25618717
06;88,59193548;35,6557546
07;92,61612903;40,04630134
08;80,80516129;38,51510136
09;61,09580645;34,56100884
10;43,27096774;36,03788297
11;30,78935484;35,85360149
12;22,46967742;35,18683272
13;15,83064516;36,06813163
14;12,51258065;35,5882312
15;18,42354839;33,34917596
16;34,80709677;33,55853535
17;56,5816129;33,44115659
18;78,43354839;27,78673803
19;105,5712903;33,92830163
20;144,6680645;49,25449383
21;125,1164516;32,52793062
22;101,3535484;18,92913461
23;85,34548387;16,71444402
